Genus,Number of sequences
Dactylina,3
Dactylonectria,1
Dactylosporina,2
Daedalea,7
Daedaleopsis,1
Daldinia,16
Danielozyma,2
Darkera,1
Darksidea,4
Dasyscyphella,3
Dasyspora,4
Datronia,7
Davidsoniella,2
Debaryomyces,9
Debaryomycetaceae,2
Deconica,3
Degelia,1
Dekkera,3
Delfinachytrium,1
Delicatula,1
Dendriscocaulon,1
Dendroclathra,1
Dendrocollybia,1
Dendrocorticium,1
Dendrographa,5
Dendrospora,1
Dendryphion,3
Deniquelata,1
Dennisiomyces,2
Dentipellicula,1
Dentipellis,2
Dentiscutata,12
Dentocorticium,1
Dermateaceae,18
Dermatocarpon,16
Dermea,2
Dermocybe,3
Derxomyces,11
Descolea,5
Descomyces,3
Desertella,2
Desmazierella,6
Devriesia,12
Diaporthaceae,35
Diaporthales,24
Diaporthe,114
Diaporthella,1
Diatrypaceae,13
Diatrype,8
Diatrypella,1
Dibaeis,2
Dicarpella,1
Dicephalospora,1
Dichomitus,5
Dichotomocladium,3
Dictyocatenulata,2
Dictyochaeta,2
Dictyonema,3
Dictyophora,2
Dictyosporium,3
Didymella,8
Didymocyrtis,2
Didymosphaeria,1
Didymosphaeriaceae,2
Didymostilbe,1
Dietelia,1
Dimorphospora,2
Dinemasporium,6
Dingleya,1
Dinomyces,1
Dioszegia,18
Diplocarpon,2
Diplodia,20
Diplogelasinospora,2
Diploicia,1
Diplomitoporus,2
Diploschistes,14
Diplotomma,4
Dipodascaceae,8
Dipodascus,3
Dirina,32
Dirinaria,3
Dirkmeia,1
Diromma,1
Discinaceae,1
Disciotis,1
Discosia,1
Discula,1
Disculoides,1
Dissoconium,4
Dissophora,1
Diversispora,31
Diversisporaceae,6
Dolabra,1
Dolichousnea,5
Dominikia,3
Donadinia,3
Donkioporia,1
Dothidea,2
Dothideales,7
Dothideomycetes,143
Dothioraceae,1
Dothiorella,22
Dothistroma,2
Drechslera,6
Duddingtonia,1
Dufourea,8
Dumontinia,1
Duportella,1
Dussiella,1
Dwayaangam,1
Earliella,1
Echinoderma,3
Echinodontium,1
Edenia,1
Efibula,1
Efibulobasidium,1
Eilifdahlia,2
Elaphomyces,21
Elaphomycetaceae,5
Elasticomyces,1
Elderia,1
Eleutheromyces,1
Elixia,1
Ellisomyces,1
Elmerina,3
Elsinoaceae,7
Elytroderma,1
Emericella,1
Emmonsia,6
Emodomelanelia,1
Encoelia,3
Endocarpon,1
Endoconidioma,1
Endoconidiophora,5
Endogonales,2
Endogone,2
Endomelanconiopsis,3
Endophyllum,2
Endoraecium,10
Endosporium,1
Endothiella,1
Endoxyla,1
Engyodontium,2
Enterographa,1
Entocybe,2
Entoleuca,2
Entoloma,145
Entolomataceae,12
Entomocorticium,3
Entophlyctis,1
Entorrhiza,4
Entyloma,10
Entylomatales,1
Eocronartium,1
Ephelis,1
Epichloë,4
Epicoccum,2
Epidermophyton,1
Epithele,1
Epulorhiza,16
Eremascus,1
Eremiomyces,2
Eremothecium,5
Eriocybe,1
Erysiphaceae,6
Erysiphe,71
Erythricium,3
Erythrobasidium,3
Escovopsioides,1
Escovopsis,4
Esslingeriana,1
Eucasphaeria,1
Euoidium,3
Eupenidiella,1
Eurotiales,18
Eurotiomycetes,23
